spp,x,G,N,time,ext
Species1,0.3572163713915135,39.589682944497,1.4676284003300418e6,0.0,Extinct
Species1,0.48875405193894705,68.74752733459694,1.0492923148256366e6,0.10994275483583077,Extinct
Species1,0.722101928863838,121.27070676108302,1.0431208418427286e6,0.27263481106149157,Extinct
Species1,1.0977178084306758,208.46446949663996,1.1138897482608962e6,0.45984567742530574,Extinct
Species1,1.784614379235984,367.9053584741316,1.1566846897745011e6,0.694961046709183,Extinct
Species1,3.267039008832502,735.9960559806722,1.135823317317822e6,1.079465625058513,Extinct
Species1,6.035700708239302,1515.3732122006159,1.0579510377051954e6,2.456345304964498,Extinct
Species1,6.375410491767394,1201.0173785237096,1.0021077800002589e6,6.4924970343915325,Extinct
Species1,7.309297062739521,1113.3230557905783,981928.2307246431,13.068724063859397,Extinct
Species1,7.426986314483524,982.9669344628908,1.062857071856386e6,21.911565017011828,Extinct
Species1,6.381713079502355,921.3900931320997,1.1740185716987338e6,30.750637302226625,Extinct
Species1,6.812599937074324,852.6428032421984,1.380958725790893e6,44.64749258853375,Extinct
Species1,6.527000085536377,804.6066316616939,1.4510900039865582e6,63.018147529265974,Extinct
Species1,6.040607740667016,750.2766968985968,1.5078153106373684e6,95.6749661849115,Extinct
Species1,4.789353930053511,688.257847131681,1.5586923421463687e6,207.6005064633899,Extinct
Species1,2.4286763588262623,688.718208425903,1.4890927769346377e6,412.27021545183857,Extinct
Species1,1.0075208913292433,696.4771693217126,1.4314712179545993e6,603.497245533299,Extinct
Species1,0.48577196049067933,696.2263182466069,1.393845018773339e6,779.2120190472843,Extinct
Species1,0.11200014562947583,697.9549709911538,1.3437400819551083e6,947.6111434286105,Extinct
Species1,-0.2159058552450467,696.4833941874539,1.2996969607360624e6,1119.0007021810454,Extinct
Species1,0.09908128363046124,707.6133162145262,1.2556953362012561e6,1291.2403494232992,Extinct
Species1,-0.14374001995259708,708.5735697579426,1.2043850473213838e6,1448.08253392209,Extinct
Species1,0.10086673672573489,705.050079462902,1.169076801557099e6,1602.07728175091,Extinct
