spp,x,G,N,time,ext
Species1,8.513787431194746,181.1525403256307,5.311504488072203e8,6176.022993762985,Extant
Species1,8.509509322531722,180.70748896821544,5.3225220571979016e8,6380.5983269640055,Extant
Species1,8.508191619807969,180.2632631814429,5.326782229439518e8,6575.716920101273,Extant
Species1,8.520230977774075,179.67499902716168,5.336603801875081e8,6776.689763077727,Extant
Species1,8.525609346275829,179.1785083612339,5.3408111401812357e8,6979.326048894242,Extant
Species1,8.529244589804257,179.00658128558578,5.3436619350081885e8,7182.237928974655,Extant
Species1,8.527913879118131,178.89082082090403,5.3454463471195877e8,7384.696797152632,Extant
Species1,8.519568062102008,178.54587087441166,5.354232591104948e8,7595.761635106446,Extant
Species1,8.525213613044619,178.01284596122315,5.362445544687785e8,7802.7944094503055,Extant
Species1,8.522405930197126,177.61329714348662,5.36595735583504e8,8006.677178088575,Extant
Species1,8.50771977506946,177.33099158802827,5.370949843871039e8,8213.056319076579,Extant
Species1,8.511716795029205,176.621848077984,5.382635890958114e8,8414.602263754134,Extant
Species1,8.507781405282177,175.98469279577733,5.394569421462405e8,8618.120734766797,Extant
Species1,8.507773267234159,175.49759595230782,5.400060495467407e8,8824.327379720484,Extant
Species1,8.509064064142056,175.1702242327694,5.403741806182736e8,9025.636104055513,Extant
Species1,8.518820520062958,174.68700343890833,5.4135466018601e8,9228.337911792272,Extant
Species1,8.527275824558672,174.4025065793929,5.417786947237155e8,9426.676304633764,Extant
Species1,8.526923727588521,173.89056779958148,5.426908732315e8,9626.544294497133,Extant
Species1,8.521669145968648,173.49072236907142,5.432221394871447e8,9830.904192412156,Extant
Species1,8.516282486766233,173.0895165019563,5.439952766026036e8,10035.225535766253,Extant
Species1,8.511073974350657,172.49277063427706,5.448833010827582e8,10240.280897355333,Extant
Species1,8.523007249110492,171.77839503094137,5.462776582584726e8,10446.984022963215,Extant
Species1,8.519079856746057,171.43610038303333,5.46539424082617e8,10648.995250356607,Extant
Species1,8.51540861726759,171.30075453909114,5.468025897637227e8,10857.120637192878,Extant
Species1,8.532451304805791,170.91679189033087,5.475906669001448e8,11068.932656865809,Extant
Species1,8.543906623149788,170.27169913262324,5.481464400348308e8,11278.741980360826,Extant
Species1,8.54694406878229,169.67111433291797,5.490917623737192e8,11489.166821391775,Extant
Species1,8.562493925367932,169.42507843136238,5.498963038051149e8,11702.189180810805,Extant
Species1,8.566702015883093,168.9972658354067,5.502891031876204e8,11909.52201465937,Extant
Species1,8.564135420018262,168.55901205467978,5.51008604792707e8,12121.959481237769,Extant
Species1,8.569833657968209,168.084877263841,5.519843788090774e8,12330.809724462308,Extant
Species1,8.579792508312197,167.82854016520974,5.523970729577309e8,12544.146703050443,Extant
Species1,8.570037729205328,167.6340866574819,5.525931729057199e8,12759.288851341533,Extant
Species1,8.58248233948768,167.52435865121004,5.529289276059738e8,12971.42154142499,Extant
Species1,8.58380819012916,167.0034622684514,5.537538586803699e8,13183.828523087614,Extant
Species1,8.593967035888458,166.62257957930154,5.544422725086024e8,13395.115980695826,Extant
Species1,8.620302825336173,166.22185270955546,5.550156317117028e8,13604.741386074413,Extant
Species1,8.621665739798477,165.98230444283976,5.55515371187202e8,13815.88690556805,Extant
Species1,8.629507353339557,165.46456738227087,5.567724352734218e8,14030.910456287127,Extant
Species1,8.631687114757014,165.07467704343185,5.570873508565884e8,14246.593488384653,Extant
Species1,8.628936998565106,164.7082201717853,5.575983146712775e8,14458.909787416824,Extant
Species1,8.637286341901387,164.45723141503888,5.581111299896165e8,14670.290412165801,Extant
Species1,8.6461618244612,164.03377665727922,5.58935217714313e8,14882.164870416907,Extant
Species1,8.6501672002724,163.76146785217588,5.59406453378844e8,15095.350759661918,Extant
Species1,8.657148178567034,163.27644604063767,5.599721077565347e8,15312.964613714466,Extant
Species1,8.651942219457332,162.80582692688674,5.609331344394543e8,15529.12237361705,Extant
Species1,8.658054675898091,162.64443377550631,5.611356022766774e8,15739.873501181663,Extant
Species1,8.662625291040463,162.39621581065714,5.618103965734527e8,15960.075020139888,Extant
Species1,8.659517181484034,161.72498491223192,5.629317853897668e8,16176.603666426785,Extant
Species1,8.661439107695761,161.44327828720859,5.633602600228404e8,16395.415151267767,Extant
